,date,open,close,high,low,sema,lema,dif,dea,macd
208,2016-11-11,3.33,3.41,3.43,3.31,3.288445623211573,3.2687008236001787,0.02,0.01,0.02
209,2016-11-14,3.39,3.53,3.59,3.38,3.3256078350251776,3.2880563200010586,0.04,0.02,0.04
210,2016-11-15,3.51,3.49,3.58,3.44,3.350898937328996,3.3030151124379103,0.05,0.02,0.060000000000000005
211,2016-11-16,3.49,3.48,3.54,3.45,3.3707606392783815,3.316125105185062,0.05,0.03,0.04000000000000001
212,2016-11-17,3.47,3.5,3.51,3.41,3.3906436178509387,3.3297454687989188,0.06,0.04,0.039999999999999994
213,2016-11-18,3.5,3.46,3.55,3.45,3.401313830489256,3.339393953270444,0.06,0.04,0.039999999999999994
214,2016-11-21,3.45,3.53,3.6,3.44,3.4211117027216784,3.3535129206146603,0.07,0.05,0.04000000000000001
215,2016-11-22,3.53,3.54,3.56,3.5,3.4394022099952664,3.367326779180174,0.07,0.05,0.04000000000000001
216,2016-11-23,3.53,3.58,3.649,3.52,3.461032639226764,3.3830803519726347,0.08,0.06,0.04000000000000001
217,2016-11-24,3.57,3.57,3.62,3.54,3.4777968485764923,3.396926252542562,0.08,0.06,0.04000000000000001
218,2016-11-25,3.57,3.58,3.6,3.47,3.4935204103339554,3.410487271522109,0.08,0.07,0.01999999999999999
219,2016-11-28,3.6,3.61,3.639,3.55,3.511440347205655,3.4252659928053566,0.09,0.07,0.03999999999999998
220,2016-12-13,3.39,3.45,3.47,3.271,3.5019879860970926,3.4270981415616575,0.07,0.07,0.0
221,2016-12-14,3.49,3.43,3.54,3.42,3.4909129113129245,3.4273130940467427,0.06,0.07,-0.020000000000000018
222,2016-12-15,3.46,3.45,3.51,3.42,3.484618617264782,3.4289936056579844,0.06,0.07,-0.020000000000000018
223,2016-12-16,3.45,3.44,3.48,3.39,3.477754214608662,3.429808894154333,0.05,0.06,-0.01999999999999999
224,2016-12-19,3.43,3.4,3.45,3.38,3.4657920277457905,3.4276008278540493,0.04,0.06,-0.039999999999999994
225,2016-12-20,3.42,3.36,3.42,3.32,3.449516331169515,3.4225933589842095,0.03,0.05,-0.04000000000000001
226,2016-12-21,3.35,3.37,3.39,3.35,3.4372830494511284,3.418697554514222,0.02,0.05,-0.060000000000000005
227,2016-12-22,3.36,3.43,3.44,3.34,3.436162580304801,3.419534772718409,0.02,0.04,-0.04
228,2016-12-23,3.4,3.35,3.43,3.35,3.4229067987194473,3.414384048699099,0.01,0.03,-0.039999999999999994
229,2016-12-26,3.34,3.37,3.38,3.29,3.414767291224148,3.411096341320535,0.0,0.03,-0.06
230,2016-12-27,3.36,3.42,3.47,3.35,3.4155723233435094,3.4117558716056298,0.0,0.02,-0.04
231,2016-12-28,3.42,3.37,3.44,3.36,3.4085611966752776,3.408662844024827,-0.0,0.02,-0.04
232,2016-12-29,3.37,3.37,3.43,3.35,3.4026287048790813,3.4057989296059272,-0.0,0.01,-0.02
233,2016-12-30,3.38,3.37,3.39,3.34,3.3976089041284534,3.4031471570024956,-0.01,0.01,-0.04
234,2017-01-03,3.36,3.38,3.4,3.34,3.394899841954845,3.4014325527561233,-0.01,0.01,-0.04
235,2017-01-04,3.37,3.38,3.39,3.35,3.3926075585771764,3.3998449562351234,-0.01,0.0,-0.02
236,2017-01-05,3.37,3.41,3.44,3.36,3.3952833187960727,3.400597181708202,-0.01,0.0,-0.02
237,2017-01-06,3.39,3.39,3.4,3.37,3.3944705005197537,3.3998122052766626,-0.01,0.0,-0.02
238,2017-01-09,3.39,3.46,3.46,3.38,3.404551961978253,3.4042705604871575,0.0,0.0,0.0
239,2017-01-10,3.44,3.43,3.46,3.42,3.4084670447508296,3.406176444913646,0.0,0.0,0.0
240,2017-01-11,3.43,3.4,3.45,3.39,3.407164422481471,3.405718930471568,0.0,0.0,0.0
